Person,Region
Finn Nguyen,Spain
Isabella Singh,France
Emily Dubois,Kenya
Jonas Silva,Mexico
Kaito Rossi,Canada-West
Mateo Kim,Chile
Lucas Nguyen,Brazil
Nora Rossi,USA-West
Zara Schmidt,UK
Anya Kim,South Korea
Amelia Kim,Japan
Sophia Ivanov,Australia
Noah Patel,Germany
Liam Garcia,India
Mila Garcia,South Africa
Ivy Singh,UAE
Yusuf Miller,Egypt
Leo Williams,Colombia
Hannah Schmidt,Saudi Arabia
Omar Nguyen,Italy
Viktor Patel,USA-East
Noor Miller,Singapore
Aarav Kim,Canada-East
Lena Ivanov,Argentina
